person,visit_days,txn_cnt,total_amount,avg_amount,avg_visit_gap_days,total_reward,reward_to_revenue_ratio,is_accidental_customer,gender,age,income
0009655768c64bdeb2e877511632db8f,8,8,127.6,15.95,2.857142857142857,9.0,0.07053291536050157,1,M,33.0,72000.0
00116118485d4dfda04fdbaba9a87b5c,2,3,4.09,1.3633333333333333,7.0,0.0,0.0,0,,,
0011e0d4e6b944f998e987f904e8c1e5,5,5,79.46000000000001,15.892000000000001,5.5,13.0,0.16360432922225018,0,O,40.0,57000.0
0020c2b971eb4e9188eac86d93036a77,6,8,196.85999999999999,24.607499999999998,5.4,14.0,0.07111652951335976,1,F,59.0,90000.0
0020ccbbb6d84e358d3414a3ff76cffd,11,12,154.05,12.8375,2.7,13.0,0.08438818565400844,0,F,24.0,60000.0
003d66b6608740288d6cc97a6903f4f0,14,18,48.34,2.6855555555555557,2.076923076923077,9.0,0.18618121638394702,1,F,26.0,73000.0
00426fe3ffde4c6b9cb9ad6d077a13ea,12,17,68.50999999999999,4.029999999999999,2.5454545454545454,2.0,0.02919281856663261,0,F,19.0,65000.0
004b041fbfe44859945daa2c7f79ee64,5,6,138.36,23.060000000000002,7.25,7.0,0.05059265683723619,0,F,55.0,74000.0
004c5799adbf42868b9cff0396190900,9,12,347.38,28.948333333333334,2.375,24.0,0.06908860613737118,1,M,54.0,99000.0
005500a7188546ff8a767329a2f7c76a,3,4,20.36,5.09,8.0,5.0,0.2455795677799607,1,M,56.0,47000.0
0056df74b63b4298809f0b375a304cf4,5,5,144.14,28.827999999999996,5.75,13.0,0.09019009296517276,1,M,54.0,91000.0
0063def0f9c14bc4805322a488839b32,3,3,7.21,2.4033333333333333,7.5,0.0,0.0,0,,,
0069a50874d846438e58acff5e594725,5,5,33.5,6.7,5.75,2.0,0.05970149253731343,1,,,
00715b6e55c3431cb56ff7307eb19675,13,15,375.12,25.008,2.4166666666666665,32.0,0.0853060354020047,1,F,58.0,119000.0
0082fd87c18f45f2be70dbcbb0fb8aad,7,7,121.85,17.407142857142855,4.333333333333333,10.0,0.08206811653672548,1,F,28.0,68000.0
00840a2ca5d2408e982d56544dc14ffd,16,17,62.93,3.701764705882353,1.5333333333333334,9.0,0.1430160495788972,1,M,26.0,61000.0
00857b24b13f4fe0ad17b605f00357f5,4,4,6.26,1.565,7.666666666666667,0.0,0.0,0,M,71.0,41000.0
008d7088107b468893889da0ede0df5c,5,7,16.18,2.3114285714285714,3.5,0.0,0.0,0,M,24.0,42000.0
0091d2b6a5ea4defaa8393e4e816db60,9,12,279.16,23.263333333333335,2.75,25.0,0.08955437741796818,0,F,62.0,81000.0
0092a132ead946ceb30d11a1ed513d20,3,3,2.54,0.8466666666666667,8.0,0.0,0.0,0,,,
0099bf30e4cb4265875266eb3eb25eab,7,9,105.83,11.758888888888889,3.1666666666666665,7.0,0.06614381555324578,1,M,61.0,66000.0
009d10c2c38a4fd795a7bc6ddbbddb78,7,7,11.78,1.6828571428571428,4.5,0.0,0.0,0,,,
00a794f62b9a48beb58f8f6c02c2f1a6,11,11,166.4,15.127272727272727,2.5,5.0,0.03004807692307692,0,F,88.0,54000.0
00ad4c2cace94f67a6354ec90d6c6f45,8,8,20.73,2.59125,3.0,0.0,0.0,0,,,
00ae03011f9f49b8a4b3e6d416678b0b,8,8,218.05,27.25625,1.8571428571428572,26.0,0.1192387067186425,0,M,55.0,83000.0
00aee28bbb3848dd8a31f0c91dc267dd,5,5,20.53,4.106,4.75,0.0,0.0,0,M,21.0,59000.0
00b18b535d6d4f779dea4dc9ac451478,5,5,133.25,26.65,5.75,8.0,0.0600375234521576,0,M,72.0,102000.0
00b3400e4ff64ee68ce9ada1d0c222f0,9,10,163.92000000000002,16.392000000000003,3.375,17.0,0.10370912640312346,1,M,62.0,80000.0
00b3c376db2a4115af3aef34a02f61d6,8,8,219.63,27.45375,2.5714285714285716,25.0,0.11382780130219004,1,M,50.0,104000.0
00b5fb9d842d437e83033ad9e36f7148,3,3,7.74,2.58,3.5,0.0,0.0,0,,,
00b901d68f8f4fd68075184cd0f772d2,3,4,53.550000000000004,13.387500000000001,10.5,0.0,0.0,0,F,68.0,76000.0
00bbce6533f44ddeaf4dd32bcab55441,7,7,77.21,11.03,3.6666666666666665,9.0,0.11656521176013471,0,M,94.0,50000.0
00bc42a62f884b41a13cc595856cf7c3,8,8,150.64,18.83,4.142857142857143,19.0,0.1261285183218269,1,M,44.0,72000.0
00bc983061d3471e8c8e74d31b7c8b6f,3,3,63.5,21.166666666666668,2.5,10.0,0.15748031496062992,0,M,59.0,77000.0
00c20a9202d5475190b31a24de6fb06d,7,8,164.01,20.50125,4.0,23.0,0.14023535150295716,0,O,52.0,80000.0
00c2f812f4604c8893152a5c6572030e,5,5,124.09,24.818,4.75,14.0,0.11282133935047142,1,F,58.0,102000.0
00c32a104f0c4065b5b552895fb22e34,2,2,6.9799999999999995,3.4899999999999998,6.0,0.0,0.0,0,M,33.0,42000.0
00c5a385c71a4d3db5e9b4e31e430943,2,2,2.59,1.295,14.0,0.0,0.0,0,M,28.0,35000.0
00c6035df45840038a72766c6d27a0db,10,11,241.55,21.95909090909091,2.7777777777777777,15.0,0.06209894431794659,0,M,47.0,86000.0
00c91f31f5f74e769fa7a359b63e1a9f,12,14,134.74,9.624285714285715,1.8181818181818181,8.0,0.059373608431052396,0,F,22.0,49000.0
00ceaf16a40341e6996d543d04daa2c2,8,9,26.98,2.997777777777778,3.2857142857142856,0.0,0.0,0,M,34.0,38000.0
00cf1bbec83f4a658f8994e556db4633,3,3,64.27000000000001,21.423333333333336,10.5,4.0,0.0622374358176443,0,M,53.0,73000.0
00cf471ed1aa42a8bdde5561d67da2b1,7,8,26.18,3.2725,4.333333333333333,5.0,0.19098548510313215,1,M,53.0,40000.0
00d6dc87be4146ceb47fcd4baaaf6477,10,12,334.64,27.886666666666667,3.0,24.0,0.07171886206072198,1,F,58.0,115000.0
00d791e20c564add8056498e40eb56cc,13,19,59.62,3.1378947368421053,2.25,23.0,0.3857765850385777,0,M,22.0,32000.0
00d7c95f793a4212af44e632fdc1e431,6,7,162.42000000000002,23.202857142857145,4.8,21.0,0.1292944218692279,1,M,71.0,75000.0
00d91c5919514448bc4f718e4e3f26ab,2,2,44.599999999999994,22.299999999999997,21.0,10.0,0.22421524663677134,0,M,45.0,88000.0
00e20b4ca129458aaab0f4727ef3513a,17,20,191.54999999999998,9.577499999999999,1.75,4.0,0.020882276168102325,0,F,82.0,33000.0
00e52682848542c3a6f59b7824e9a5c5,2,2,23.07,11.535,2.0,5.0,0.21673168617251842,0,M,40.0,65000.0
00e8d701c583461e81cc10053681a12b,7,7,30.98,4.425714285714286,3.6666666666666665,3.0,0.09683666881859264,0,M,35.0,70000.0
00e9f403afa641889cd034ee7c7ca6e9,12,17,614.59,36.152352941176474,2.4545454545454546,13.0,0.021152312924063197,0,M,73.0,45000.0
00ed7e22b32749cfafbfd88592d401d4,10,11,236.96,21.541818181818183,3.111111111111111,9.0,0.03798109385550304,1,M,55.0,94000.0
00ee2ca6421c4af0aeca60a1b3e00f6c,1,1,4.03,4.03,,0.0,0.0,0,M,60.0,74000.0
00ee69db83964d6da32f8109b32a1ce7,4,5,15.79,3.158,6.333333333333333,0.0,0.0,0,M,45.0,52000.0
00fac72fd6ad448e8019b175267023df,10,10,186.23000000000002,18.623,3.0,30.0,0.16109112387907426,0,M,57.0,80000.0
00fbb9b5edb94f02afbaf1eb49bb4d7d,3,3,80.1,26.7,10.0,10.0,0.12484394506866418,0,F,56.0,91000.0
00fdd4416dec40b49180814c0a7c8d76,3,3,76.65,25.55,5.5,2.0,0.02609262883235486,0,M,55.0,104000.0
0100dbd4e8554aa69b73b6ac0547f6bf,3,3,6.55,2.183333333333333,13.0,0.0,0.0,0,,,
0103de989e084e0fab400e80678d7591,9,11,144.97,13.17909090909091,2.875,22.0,0.151755535628061,1,M,19.0,50000.0
0106d19a26af41288035afc4b9b6c2c2,9,10,21.24,2.1239999999999997,3.0,5.0,0.2354048964218456,0,,,
01162252405b4524a8fa1bf8e6d5f04b,12,18,129.85999999999999,7.214444444444443,2.5454545454545454,16.0,0.12320961034960728,1,F,68.0,32000.0
01176ee7289b48e39ee6261d5c071a07,5,5,20.200000000000003,4.040000000000001,6.0,2.0,0.099009900990099,1,M,52.0,38000.0
0118fbb66dd2443a9dd407d2c99a7672,3,3,64.04,21.346666666666668,7.0,0.0,0.0,0,M,57.0,55000.0
0121fe001b7a404fa9cbe486f8944baf,6,6,191.68,31.94666666666667,2.4,17.0,0.08868948247078463,1,F,86.0,109000.0
0123564dbaf144a88a418c33b6350c17,6,6,176.74,29.456666666666667,4.4,7.0,0.03960620119950209,1,F,54.0,117000.0
012ee55a90bd4d969b0d0cdfaffdf6ab,11,11,9.98,0.9072727272727273,2.6,0.0,0.0,0,,,
013094309e1b49e095c098df412d125d,13,20,69.18,3.4590000000000005,2.1666666666666665,10.0,0.14455044810638912,0,M,58.0,54000.0
01380da907f8495496679c795867790b,7,8,154.99,19.37375,2.5,15.0,0.09678043744757726,0,F,86.0,73000.0
013f2c82889f4641a9b847a48861cce0,8,9,186.54000000000002,20.72666666666667,3.5714285714285716,15.0,0.08041170794467674,0,M,67.0,79000.0
0141d3870a424c03a20390040efad826,4,4,6.32,1.58,5.666666666666667,0.0,0.0,0,M,70.0,60000.0
01443a2afce54939a323c978f467c540,15,16,417.93,26.120625,1.7142857142857142,27.0,0.06460412030722848,0,F,61.0,118000.0
014899c751254a62a96ce676eb11ddc2,9,10,287.11,28.711000000000002,3.125,14.0,0.04876179861377172,1,F,52.0,115000.0
0155a21497d54684a55c3bc609843768,9,10,7.94,0.794,3.5,0.0,0.0,0,,,
0157e63b39c5456393026c6c03f3d84a,9,10,199.65,19.965,2.875,20.0,0.10017530678687703,0,F,70.0,76000.0
015c3d28c67e46aa95e9ec97c27220e8,9,10,235.41,23.541,3.125,19.0,0.08071025020177562,0,M,56.0,99000.0
015ef929e016415098eeae8ce59da721,3,3,18.28,6.093333333333334,7.0,2.0,0.10940919037199125,0,F,44.0,35000.0
015fb0b3fbaa4aceb910fbdf272f7547,6,6,14.290000000000001,2.381666666666667,4.2,0.0,0.0,0,M,46.0,35000.0
016086228d58476599d0b47881c25509,4,5,83.2,16.64,6.0,7.0,0.08413461538461538,0,F,84.0,74000.0
01613170f679422a8acfa96f0f19fdf2,5,5,10.33,2.066,6.0,0.0,0.0,0,M,22.0,57000.0
01633b71b3a2457aa7d35d8bcc3afb5a,7,8,161.51,20.18875,2.8333333333333335,27.0,0.1671723113119931,0,M,62.0,90000.0
016871ea865d4338975026ae08d221d0,3,3,45.79,15.263333333333334,7.0,2.0,0.04367765887748417,1,F,57.0,79000.0
016b37032984457fb33ba2767fcc8c9f,13,15,55.18,3.6786666666666665,2.4166666666666665,0.0,0.0,0,M,24.0,56000.0
